nome_pais,sigla,grupo,forca
Mexico,MEX,Group A,3.0
South Africa,RSA,Group A,2.0
South Korea,KOR,Group A,2.5
Czech Republic,CZE,Group A,2.5
Canada,CAN,Group B,3.0
Bosnia and Herzegovina,BIH,Group B,2.0
Qatar,QAT,Group B,1.5
Switzerland,SUI,Group B,3.5
Brazil,BRA,Group C,5.0
Morocco,MAR,Group C,3.5
Haiti,HAI,Group C,1.0
Scotland,SCO,Group C,2.5
United States,USA,Group D,3.0
Paraguay,PAR,Group D,2.5
Australia,AUS,Group D,2.5
Turkey,TUR,Group D,3.0
Germany,GER,Group E,4.5
Curacao,CUW,Group E,1.0
Ivory Coast,CIV,Group E,2.5
Ecuador,ECU,Group E,2.5
Netherlands,NED,Group F,4.0
Japan,JPN,Group F,3.5
Sweden,SWE,Group F,3.0
Tunisia,TUN,Group F,2.0
Belgium,BEL,Group G,3.5
Egypt,EGY,Group G,2.0
Iran,IRN,Group G,2.5
New Zealand,NZL,Group G,1.5
Spain,ESP,Group H,4.5
Cape Verde,CPV,Group H,1.5
Saudi Arabia,KSA,Group H,2.0
Uruguay,URU,Group H,3.5
France,FRA,Group I,5.0
Senegal,SEN,Group I,3.0
Iraq,IRQ,Group I,1.5
Norway,NOR,Group I,2.5
Argentina,ARG,Group J,5.0
Algeria,ALG,Group J,2.0
Austria,AUT,Group J,3.0
Jordan,JOR,Group J,1.5
Portugal,POR,Group K,4.5
DR Congo,COD,Group K,2.0
Uzbekistan,UZB,Group K,1.5
Colombia,COL,Group K,3.0
England,ENG,Group L,4.5
Croatia,CRO,Group L,3.5
Ghana,GHA,Group L,2.0
Panama,PAN,Group L,2.0
